genes	module
Apoe	3
Apool	1
Apopt1	0
App	5
Appbp2	1
Appl1	0
Appl2	4
Aprt	3
Aptx	0
Aqr	4
Araf	0
Arap1	4
Arap2	1
Arap3	2
Arcn1	6
Arel1	1
Arf1	5
Arf2	5
Arf3	6
Arf4	1
Arf5	5
Arf6	5
Arfgap1	3
Arfgap2	4
Arfgap3	5
Arfgef1	8
Arfgef2	2
Arfip1	1
Arfip2	3
Arfrp1	2
Arglu1	2
Arhgap1	6
Arhgap11a	2
Arhgap12	0
Arhgap15	6
Arhgap17	2
Arhgap18	3
Arhgap19	1
Arhgap21	2
Arhgap22	3
Arhgap24	9
Arhgap25	2
Arhgap26	0
Arhgap27	4
Arhgap27os3	2
Arhgap29	0
Arhgap30	2
Arhgap31	4
Arhgap32	2
Arhgap35	2
Arhgap39	2
Arhgap4	2
Arhgap5	1
Arhgap9	3
Arhgdia	3
Arhgdib	3
Arhgef1	3
Arhgef10l	2
Arhgef11	2
Arhgef12	2
Arhgef18	4
Arhgef2	3
Arhgef25	3
Arhgef3	3
Arhgef39	7
Arhgef4	2
Arhgef40	4
Arhgef6	4
Arhgef7	2
Arid1a	2
Arid1b	4
Arid2	0
Arid3a	2
Arid3b	2
Arid4a	2
Arid4b	1
Arid5a	3
Arid5b	2
Arih1	1
Arih2	8
Arl1	1
Arl10	2
Arl11	5
Arl13b	2
Arl14ep	1
Arl15	1
Arl16	1
Arl2	3
Arl2bp	9
Arl3	3
Arl4a	7
Arl4c	2
Arl4d	0
Arl5a	1
Arl5b	1
Arl5c	0
Arl6	1
Arl6ip1	6
Arl6ip4	7
Arl6ip5	0
Arl6ip6	1
Arl8a	3
Arl8b	1
Armc1	1
Armc10	0
Armc3	0
Armc5	4
Armc6	4
Armc7	3
Armc8	1
Armc9	0
Armcx2	0
Armcx3	0
Armcx5	0
Armcx6	4
Armt1	0
Arnt	1
Arntl	3
Arpc1a	0
Arpc1b	3
Arpc2	5
Arpc3	3
Arpc4	5
Arpc5	6
Arpc5l	1
Arpp19	1
Arrb1	0
Arrb2	3
Arrdc1	2
Arrdc2	3
Arrdc3	1
Arrdc4	2
Arsa	3
Arsb	1
Arsg	5
Arsk	1
Arv1	0
Arvcf	4
As3mt	5
Asah1	6
Asah2	2
Asap1	4
Asap3	4
Asb1	1
Asb10	0
Asb13	5
Asb2	4
Asb3	1
Asb6	3
Asb7	1
Asb8	1
Ascc1	3
Ascc2	2
Ascc3	8
Ascl2	0
Asf1a	1
Asf1b	9
Ash1l	2
Ash2l	5
Asl	3
Asna1	3
Asns	1
Asnsd1	8
Asph	1
Aspscr1	3
Asrgl1	0
Aste1	0
Asun	8
Asxl1	4
Asxl2	8
Atad1	1
Atad2	1
Atad2b	2
Atad3a	4
Atad5	2
Atat1	2
Ate1	1
Atf1	1
Atf2	1
Atf3	2
Atf4	2
Atf6	8
Atf6b	3
Atf7	8
Atf7ip	2
Atg10	1
Atg101	5
Atg12	2
Atg13	4
Atg14	4
Atg16l1	2
Atg16l2	0
Atg2a	4
Atg2b	0
Atg3	0
Atg4a	1
Atg4b	3
Atg4c	1
Atg4d	0
Atg5	6
Atg7	5
Atg9a	5
Pgghg	7
Atic	0
Atl1	0
Atl2	0
Atl3	1
Atm	2
Atmin	6
Atn1	2
Atox1	7
Atp10d	2
Atp11a	1
Atp11b	1
Atp11c	1
Atp13a1	4
Atp13a2	4
Atp13a3	1
Atp1a1	3
Atp1a3	5
Atp1b3	1
Atp2a2	6
Atp2a3	6
Atp2b1	8
Atp2b2	2
Atp2c1	1
Atp5a1	5
Atp5b	5
Atp5c1	7
Atp5d	3
Atp5e	7
Atp5f1	1
Atp5g1	7
Atp5g3	7
Atp5h	9
Atp5j	7
Atp5j2	7
Atp5k	7
Atp5o	5
