genes	module
Ankib1	3
Ankle2	3
Ankmy2	0
Ankra2	0
Ankrd10	1
Ankrd11	4
Ankrd12	4
Ankrd13a	0
Ankrd13c	1
Ankrd13d	4
Ankrd16	4
Ankrd17	1
Ankrd24	4
Ankrd26	1
Ankrd27	6
Ankrd28	4
Slf1	1
Ankrd37	8
Ankrd39	1
Ankrd40	0
Ankrd44	1
Ankrd46	0
Ankrd49	0
Ankrd50	1
Ankrd52	4
Ankrd54	4
Anks1	6
Anks3	4
Anks6	4
Ankzf1	4
Ano10	7
Ano6	7
Ano7	4
Ano8	6
Anp32a	2
Anp32b	5
Anp32e	3
Antxr2	0
Anxa11	0
Anxa2	8
Anxa3	5
Anxa4	7
Anxa5	7
Anxa6	0
Anxa7	2
Ap1ar	1
Ap1b1	6
Ap1g1	1
Ap1g2	4
Ap1m1	2
Ap1s1	5
Ap1s2	5
Ap2a1	6
Ap2a2	0
Ap2b1	1
Ap2m1	0
Ap2s1	2
Ap3b1	1
Ap3d1	6
Ap3m1	3
Ap3m2	0
Ap3s1	3
Ap3s2	3
Ap4b1	0
Ap4e1	1
Ap4m1	4
Ap4s1	5
Ap5b1	0
Ap5m1	3
Ap5s1	2
Ap5z1	4
Apaf1	1
Apba1	6
Apba3	2
Apbb1	2
Apbb1ip	0
Apbb2	1
Apbb3	4
Apc	4
Apeh	2
Apex1	5
Apex2	0
Aph1a	0
Aph1b	8
Aph1c	0
Api5	3
Apip	5
Apitd1	5
Aplf	0
Aplp1	0
Aplp2	7
Apmap	3
Apoa1bp	5
Apobec1	4
Apobec2	0
Apobec3	4
Apobr	4
Apoe	2
Apool	0
Apopt1	5
App	7
Appbp2	1
Appl1	1
Appl2	0
Aprt	2
Aptx	0
Aqr	0
Araf	0
Arap1	0
Arap2	1
Arap3	6
Arcn1	3
Arel1	1
Arf1	5
Arf2	2
Arf3	7
Arf4	3
Arf5	2
Arf6	2
Arfgap1	2
Arfgap2	7
Arfgap3	0
Arfgef1	1
Arfgef2	6
Arfip1	3
Arfip2	2
Arfrp1	4
Arglu1	1
Arhgap1	7
Arhgap11a	4
Arhgap12	1
Arhgap15	7
Arhgap17	4
Arhgap18	0
Arhgap19	1
Arhgap21	1
Arhgap22	2
Arhgap24	8
Arhgap25	2
Arhgap26	0
Arhgap27	6
Arhgap27os3	4
Arhgap29	0
Arhgap30	4
Arhgap31	1
Arhgap32	1
Arhgap35	4
Arhgap39	4
Arhgap4	4
Arhgap5	1
Arhgap9	2
Arhgdia	2
Arhgdib	2
Arhgef1	4
Arhgef10l	0
Arhgef11	4
Arhgef12	1
Arhgef18	6
Arhgef2	0
Arhgef25	0
Arhgef3	2
Arhgef39	0
Arhgef4	4
Arhgef40	6
Arhgef6	4
Arhgef7	1
Arid1a	4
Arid1b	6
Arid2	1
Arid3a	4
Arid3b	4
Arid4a	1
Arid4b	1
Arid5a	2
Arid5b	0
Arih1	1
Arih2	0
Arl1	0
Arl10	2
Arl11	2
Arl13b	1
Arl14ep	1
Arl15	3
Arl16	3
Arl2	2
Arl2bp	3
Arl3	5
Arl4a	5
Arl4c	4
Arl4d	0
Arl5a	3
Arl5b	1
Arl5c	6
Arl6	3
Arl6ip1	3
Arl6ip4	0
Arl6ip5	5
Arl6ip6	3
Arl8a	2
Arl8b	3
Armc1	3
Armc10	3
Armc3	0
Armc5	0
Armc6	0
Armc7	6
Armc8	1
Armc9	1
Armcx2	0
Armcx3	0
Armcx5	0
Armcx6	0
Armt1	0
Arnt	0
Arntl	0
Arpc1a	4
Arpc1b	2
Arpc2	5
Arpc3	0
Arpc4	7
Arpc5	3
Arpc5l	5
Arpp19	3
Arrb1	1
Arrb2	2
Arrdc1	4
Arrdc2	4
Arrdc3	3
Arrdc4	1
Arsa	2
Arsb	3
Arsg	7
Arsk	1
Arv1	0
Arvcf	6
As3mt	0
Asah1	3
Asah2	4
Asap1	4
Asap3	6
Asb1	1
Asb10	0
Asb13	2
Asb2	8
Asb3	3
Asb6	2
Asb7	1
Asb8	3
Ascc1	5
Ascc2	6
Ascc3	1
Ascl2	0
Asf1a	3
Asf1b	8
Ash1l	1
Ash2l	2
Asl	2
Asna1	2
Asns	8
Asnsd1	0
Asph	8
Aspscr1	2
Asrgl1	2
Aste1	1
Asun	1
Asxl1	6
Asxl2	1
Atad1	3
Atad2	1
Atad2b	1
Atad3a	2
Atad5	1
